Day,Month,Poop collected y/n,AM/PM,Weather,Loc Desc,Scan time,Age,Sex,Strata,Behavior,Descriptor,Location
11,June,Y,AM,SC LW,F HO CG PW,6:00,I,U,TC,L,0,F
11,June,Y,AM,SC LW,F HO CG PW,6:00,A,F,MC,Ag+,IT,F
11,June,Y,AM,SC LW,HO,6:10,I,U,MC,R,0,F
11,June,Y,AM,SC LW,HO,6:10,J,U,MC,Fe,HFg,HO
11,June,Y,AM,SC LW,HO,6:10,I,U,G,Fo,HFg,HO
11,June,Y,AM,SC LW,HO,6:10,A,F,G,Fo,HFg,HO
11,June,Y,AM,SC LW,HO,6:10,I,U,R,R,0,HO
11,June,Y,AM,SC LW,HO,6:10,J,U,MC,R,0,HO
11,June,Y,AM,SC LW,HO,6:10,A,F,MC,R,0,HO
11,June,Y,AM,SC LW,HO,6:10,I,U,MC,Ag-,0,HO
11,June,Y,AM,SC LW,HO,6:10,A,F,MC,Ag+,0,HO
11,June,Y,AM,SC LW,HO,6:10,A,M,G,L,0,HO
11,June,Y,AM,SC LW,HO,6:20,A,F,HCS,Fe,HFn,HO
11,June,Y,AM,SC LW,HO,6:20,I,U,HCS,Fe,HFn,HO
11,June,Y,AM,SC LW,HO,6:20,I,U,HCS,Fe,HFn,HO
11,June,Y,AM,SC LW,HO,6:20,I,U,HCS,Fe,HFn,HO
11,June,Y,AM,SC LW,HO,6:20,A,F,G,Fo,HFg,HO
11,June,Y,AM,SC LW,HO,6:20,A,F,G,Fo,HFg,HO
11,June,Y,AM,SC LW,HO,6:20,I,U,G,Fo,HFg,HO
11,June,Y,AM,SC LW,HO,6:20,I,U,G,Fo,HFg,HO
11,June,Y,AM,SC LW,HO,6:20,A,M,G,Fo,HFn,HO
11,June,Y,AM,SC LW,HO,6:20,A,F,MC,R,0,HO
11,June,Y,AM,SC LW,HO,6:20,I,U,MC,R,0,HO
11,June,Y,AM,SC LW,HO,6:30,I,U,G,R,0,HO
11,June,Y,AM,SC LW,HO,6:30,J,M,G,Fe,HFg,HO
11,June,Y,AM,SC LW,HO,6:30,I,U,G,Fe,HFg,HO
11,June,Y,AM,SC LW,HO,6:30,I,U,G,Fe,HFg,HO
11,June,Y,AM,SC LW,HO,6:30,I,U,G,Fe,HFg,HO
11,June,Y,AM,SC LW,HO,6:30,A,F,G,Fe,HFg,HO
11,June,Y,AM,SC LW,HO,6:30,I,U,HCS,Fe,HF,HO
11,June,Y,AM,SC LW,HO,6:30,A,F,HCS,Fe,HF,HO
11,June,Y,AM,SC LW,HO,6:30,J,M,HCS,Fe,HFn,HO
11,June,Y,AM,SC LW,HO,6:30,A,F,HCS,Fe,HFn,HO
11,June,Y,AM,SC LW,HO,6:30,I,U,MC,R,0,HO
11,June,Y,AM,SC LW,HO,6:30,I,U,MC,L,0,HO
11,June,Y,AM,SC LW,HO,6:30,A,F,MC,L,0,HO
11,June,Y,AM,SC LW,HO,6:40,J,U,G,Fe,HFg,HO
11,June,Y,AM,SC LW,HO,6:40,J,U,G,Fe,HFg,HO
11,June,Y,AM,SC LW,HO,6:40,I,U,G,Fe,HFg,HO
11,June,Y,AM,SC LW,HO,6:40,A,F,G,Fe,HFn,HO
11,June,Y,AM,SC LW,HO,6:40,J,U,G,Fe,0,HO
11,June,Y,AM,SC LW,HO,6:40,J,U,G,Fe,0,HO
11,June,Y,AM,SC LW,HO,6:40,J,U,HCS,Fe,HFn,HO
11,June,Y,AM,SC LW,HO,6:40,J,U,MC,Fe,HFg,HO
11,June,Y,AM,SC LW,HO,6:40,A,F,G,G+,0,HO
11,June,Y,AM,SC LW,HO,6:40,I,U,G,G-,0,HO
11,June,Y,AM,SC LW,HO,6:40,J,U,HCS,Fo,HF,HO
11,June,Y,AM,SC LW,HO,6:45,I,U,G,Fo,HFg,HO
11,June,Y,AM,SC LW,HO,6:45,I,U,G,Fo,HFg,HO
11,June,Y,AM,SC LW,HO,6:45,A,F,G,Fo,HFg,HO
11,June,Y,AM,SC LW,HO,6:45,J,U,G,Fo,HFg,HO
